payment_id,loan_id,payment_date,amount_paid,payment_status
55,4,2020-07-10,1801.67,On-time
56,4,2020-08-09,1801.67,On-time
57,4,2020-09-08,1801.67,On-time
58,4,2020-10-08,1801.67,On-time
59,4,2020-11-07,0.0,Missed
60,4,2020-12-07,1801.67,On-time
61,4,2021-01-06,1801.67,On-time
62,4,2021-02-05,1801.67,On-time
63,4,2021-03-07,1801.67,On-time
64,4,2021-04-06,1801.67,On-time
65,4,2021-05-06,1801.67,On-time
66,4,2021-06-05,1801.67,On-time
67,4,2021-07-05,1801.67,On-time
68,5,2022-01-12,910.98,On-time
69,5,2022-02-11,910.98,Late
70,5,2022-03-13,910.98,On-time
71,5,2022-04-12,910.98,On-time
72,5,2022-05-12,910.98,On-time
73,5,2022-06-11,910.98,Late
74,5,2022-07-11,910.98,On-time
75,5,2022-08-10,910.98,On-time
76,5,2022-09-09,910.98,On-time
77,5,2022-10-09,910.98,On-time
78,5,2022-11-08,910.98,On-time
79,5,2022-12-08,910.98,Late
80,5,2023-01-07,0.0,Missed
81,5,2023-02-06,910.98,On-time
82,5,2023-03-08,910.98,On-time
83,5,2023-04-07,910.98,On-time
84,5,2023-05-07,910.98,On-time
85,5,2023-06-06,910.98,On-time
86,5,2023-07-06,910.98,Late
87,5,2023-08-05,910.98,On-time
88,6,2020-11-19,290.31,On-time
89,6,2020-12-19,290.31,On-time
90,6,2021-01-18,290.31,On-time
91,6,2021-02-17,290.31,On-time
92,6,2021-03-19,290.31,On-time
93,6,2021-04-18,290.31,Late
94,6,2021-05-18,290.31,On-time
95,6,2021-06-17,290.31,On-time
96,6,2021-07-17,290.31,On-time
97,6,2021-08-16,290.31,On-time
98,6,2021-09-15,0.0,Missed
99,6,2021-10-15,290.31,On-time
100,6,2021-11-14,290.31,On-time
101,6,2021-12-14,290.31,On-time
102,6,2022-01-13,290.31,On-time
103,6,2022-02-12,290.31,Late
104,6,2022-03-14,290.31,On-time
105,6,2022-04-13,290.31,On-time
106,6,2022-05-13,290.31,On-time
107,6,2022-06-12,290.31,On-time
108,7,2019-07-17,251.89,Late
109,7,2019-08-16,251.89,On-time
110,7,2019-09-15,251.89,On-time
111,7,2019-10-15,251.89,Late
112,7,2019-11-14,0.0,Missed
113,7,2019-12-14,251.89,On-time
114,7,2020-01-13,251.89,On-time
115,7,2020-02-12,251.89,On-time
116,7,2020-03-13,251.89,Late
117,7,2020-04-12,251.89,On-time
118,7,2020-05-12,251.89,On-time
119,7,2020-06-11,251.89,On-time
120,7,2020-07-11,251.89,On-time
121,7,2020-08-10,251.89,On-time
122,7,2020-09-09,251.89,On-time
123,8,2023-09-01,138.25,On-time
124,8,2023-10-01,138.25,On-time
125,8,2023-10-31,138.25,On-time
126,8,2023-11-30,138.25,On-time
127,8,2023-12-30,138.25,On-time
128,8,2024-01-29,138.25,On-time
129,8,2024-02-28,138.25,Late
130,9,2019-10-07,878.33,On-time
131,9,2019-11-06,878.33,On-time
132,9,2019-12-06,878.33,On-time
133,9,2020-01-05,878.33,On-time
134,9,2020-02-04,878.33,On-time
135,9,2020-03-05,878.33,Late
136,9,2020-04-04,878.33,On-time
137,9,2020-05-04,878.33,On-time
138,9,2020-06-03,878.33,Late
139,9,2020-07-03,878.33,On-time
140,9,2020-08-02,0.0,Missed
141,9,2020-09-01,878.33,On-time
142,9,2020-10-01,878.33,On-time
143,9,2020-10-31,878.33,On-time
144,9,2020-11-30,878.33,On-time
145,9,2020-12-30,878.33,On-time
146,9,2021-01-29,878.33,On-time
147,9,2021-02-28,878.33,Late
148,9,2021-03-30,878.33,Late
149,9,2021-04-29,878.33,On-time
150,9,2021-05-29,878.33,On-time
151,9,2021-06-28,878.33,On-time
152,9,2021-07-28,878.33,On-time
153,9,2021-08-27,878.33,On-time
154,10,2023-10-31,258.12,On-time
155,10,2023-11-30,258.12,On-time
156,10,2023-12-30,258.12,On-time
157,10,2024-01-29,258.12,On-time
158,10,2024-02-28,0.0,Missed
159,10,2024-03-29,258.12,On-time
160,10,2024-04-28,0.0,Missed
161,10,2024-05-28,0.0,Missed
162,10,2024-06-27,258.12,Late
163,10,2024-07-27,258.12,On-time
164,10,2024-08-26,258.12,On-time
165,10,2024-09-25,258.12,Late
166,10,2024-10-25,258.12,On-time
167,10,2024-11-24,258.12,On-time
168,10,2024-12-24,258.12,On-time
169,11,2021-04-23,879.5,On-time
170,11,2021-05-23,879.5,On-time
171,11,2021-06-22,879.5,On-time
172,11,2021-07-22,879.5,On-time
173,11,2021-08-21,879.5,On-time
174,11,2021-09-20,879.5,On-time
175,11,2021-10-20,879.5,On-time
176,11,2021-11-19,879.5,On-time
177,11,2021-12-19,879.5,On-time
178,11,2022-01-18,879.5,On-time
179,11,2022-02-17,879.5,On-time
180,11,2022-03-19,879.5,On-time
181,11,2022-04-18,879.5,On-time
182,11,2022-05-18,879.5,On-time
183,11,2022-06-17,879.5,On-time
184,11,2022-07-17,879.5,On-time
185,11,2022-08-16,879.5,On-time
186,11,2022-09-15,879.5,Late
187,11,2022-10-15,879.5,Late
188,11,2022-11-14,879.5,On-time
189,11,2022-12-14,879.5,On-time
190,11,2023-01-13,879.5,On-time
191,11,2023-02-12,879.5,On-time
192,11,2023-03-14,879.5,On-time
193,12,2020-01-03,880.46,Late
194,12,2020-02-02,880.46,On-time
195,12,2020-03-03,880.46,On-time
196,12,2020-04-02,880.46,On-time
197,12,2020-05-02,880.46,On-time
198,12,2020-06-01,880.46,On-time
199,12,2020-07-01,880.46,On-time
200,12,2020-07-31,880.46,On-time
201,12,2020-08-30,880.46,On-time
202,12,2020-09-29,880.46,On-time
203,12,2020-10-29,880.46,On-time
204,12,2020-11-28,880.46,On-time
205,12,2020-12-28,880.46,On-time
206,12,2021-01-27,880.46,On-time
207,12,2021-02-26,880.46,On-time
208,13,2021-10-15,1259.08,On-time
209,13,2021-11-14,1259.08,On-time
210,13,2021-12-14,1259.08,On-time
211,13,2022-01-13,1259.08,On-time
212,13,2022-02-12,1259.08,On-time
213,13,2022-03-14,1259.08,On-time
214,13,2022-04-13,0.0,Missed
215,13,2022-05-13,1259.08,On-time
216,13,2022-06-12,1259.08,On-time
217,13,2022-07-12,1259.08,On-time
218,13,2022-08-11,1259.08,On-time
219,13,2022-09-10,1259.08,On-time
220,13,2022-10-10,1259.08,On-time
221,13,2022-11-09,1259.08,Late
222,14,2023-06-12,317.58,On-time
223,14,2023-07-12,317.58,On-time
224,14,2023-08-11,317.58,On-time
225,14,2023-09-10,317.58,On-time
226,14,2023-10-10,317.58,On-time
227,14,2023-11-09,317.58,On-time
228,14,2023-12-09,317.58,On-time
229,14,2024-01-08,0.0,Missed
230,14,2024-02-07,317.58,On-time
231,14,2024-03-08,317.58,Late
232,14,2024-04-07,317.58,On-time
233,14,2024-05-07,317.58,On-time
234,14,2024-06-06,317.58,On-time
235,14,2024-07-06,317.58,On-time
236,14,2024-08-05,317.58,On-time
237,14,2024-09-04,317.58,On-time
238,14,2024-10-04,317.58,On-time
239,14,2024-11-03,317.58,Late
240,14,2024-12-03,317.58,On-time
241,14,2025-01-02,317.58,On-time
242,15,2022-09-28,0.0,Missed
243,15,2022-10-28,668.25,On-time
244,15,2022-11-27,668.25,Late
245,15,2022-12-27,0.0,Missed
246,15,2023-01-26,668.25,On-time
247,15,2023-02-25,668.25,On-time
248,15,2023-03-27,668.25,Late
249,15,2023-04-26,668.25,On-time
250,16,2023-02-10,810.61,On-time
251,16,2023-03-12,810.61,On-time
252,16,2023-04-11,810.61,On-time
253,16,2023-05-11,810.61,On-time
254,16,2023-06-10,810.61,On-time
255,16,2023-07-10,810.61,On-time
256,16,2023-08-09,810.61,On-time
257,16,2023-09-08,810.61,On-time
258,16,2023-10-08,810.61,On-time
259,16,2023-11-07,810.61,On-time
260,17,2022-05-17,208.8,Late
261,17,2022-06-16,208.8,On-time
262,17,2022-07-16,208.8,On-time
263,17,2022-08-15,208.8,Late
264,17,2022-09-14,208.8,Late
265,17,2022-10-14,208.8,On-time
266,17,2022-11-13,208.8,On-time
267,17,2022-12-13,208.8,On-time
268,17,2023-01-12,208.8,Late
269,17,2023-02-11,208.8,On-time
270,17,2023-03-13,208.8,On-time
271,17,2023-04-12,208.8,On-time
272,17,2023-05-12,208.8,Late
273,17,2023-06-11,208.8,On-time
274,17,2023-07-11,208.8,On-time
275,17,2023-08-10,208.8,On-time
276,17,2023-09-09,208.8,On-time
277,18,2022-07-17,464.19,Late
278,18,2022-08-16,464.19,Late
279,18,2022-09-15,464.19,Late
280,18,2022-10-15,464.19,Late
281,18,2022-11-14,464.19,On-time
282,18,2022-12-14,464.19,Late
283,18,2023-01-13,464.19,On-time
284,18,2023-02-12,464.19,On-time
285,18,2023-03-14,0.0,Missed
286,18,2023-04-13,464.19,On-time
287,18,2023-05-13,464.19,On-time
288,18,2023-06-12,464.19,On-time
289,18,2023-07-12,464.19,On-time
290,18,2023-08-11,464.19,On-time
291,18,2023-09-10,464.19,Late
292,18,2023-10-10,0.0,Missed
293,18,2023-11-09,464.19,On-time
294,18,2023-12-09,464.19,On-time
295,18,2024-01-08,464.19,On-time
296,19,2023-04-29,1375.31,On-time
297,19,2023-05-29,1375.31,Late
298,19,2023-06-28,1375.31,On-time
299,19,2023-07-28,1375.31,On-time
300,19,2023-08-27,1375.31,On-time
301,19,2023-09-26,1375.31,On-time
302,19,2023-10-26,1375.31,On-time
303,19,2023-11-25,1375.31,On-time
304,19,2023-12-25,1375.31,On-time
305,19,2024-01-24,1375.31,On-time
306,19,2024-02-23,1375.31,On-time
307,19,2024-03-24,1375.31,On-time
308,19,2024-04-23,1375.31,On-time
309,19,2024-05-23,1375.31,On-time
310,19,2024-06-22,1375.31,On-time
311,19,2024-07-22,1375.31,Late
312,19,2024-08-21,1375.31,On-time
313,19,2024-09-20,1375.31,On-time
314,19,2024-10-20,1375.31,On-time
315,19,2024-11-19,1375.31,On-time
316,19,2024-12-19,1375.31,On-time
317,19,2025-01-18,1375.31,On-time
318,19,2025-02-17,1375.31,On-time
319,19,2025-03-19,1375.31,On-time
320,20,2020-04-30,160.08,On-time
321,20,2020-05-30,160.08,On-time
322,20,2020-06-29,160.08,On-time
323,20,2020-07-29,160.08,On-time
324,20,2020-08-28,160.08,On-time
325,20,2020-09-27,160.08,On-time
326,21,2021-07-12,745.46,On-time
327,21,2021-08-11,745.46,On-time
328,21,2021-09-10,745.46,On-time
329,21,2021-10-10,745.46,On-time
330,21,2021-11-09,745.46,On-time
331,21,2021-12-09,745.46,On-time
332,21,2022-01-08,745.46,On-time
333,21,2022-02-07,745.46,On-time
334,21,2022-03-09,745.46,Late
335,21,2022-04-08,745.46,On-time
336,21,2022-05-08,745.46,On-time
337,21,2022-06-07,745.46,On-time
338,21,2022-07-07,745.46,On-time
339,21,2022-08-06,745.46,On-time
340,21,2022-09-05,745.46,On-time
341,21,2022-10-05,745.46,Late
342,21,2022-11-04,745.46,Late
343,22,2020-03-09,66.14,On-time
344,22,2020-04-08,66.14,On-time
345,22,2020-05-08,66.14,On-time
346,22,2020-06-07,66.14,On-time
347,22,2020-07-07,66.14,On-time
348,22,2020-08-06,66.14,On-time
349,22,2020-09-05,66.14,On-time
350,22,2020-10-05,66.14,On-time
351,22,2020-11-04,66.14,Late
352,22,2020-12-04,66.14,On-time
353,22,2021-01-03,66.14,On-time
354,22,2021-02-02,66.14,On-time
355,22,2021-03-04,66.14,On-time
356,22,2021-04-03,66.14,On-time
357,22,2021-05-03,66.14,On-time
358,22,2021-06-02,66.14,On-time
359,22,2021-07-02,66.14,On-time
360,22,2021-08-01,66.14,On-time
361,22,2021-08-31,66.14,On-time
362,22,2021-09-30,66.14,On-time
363,22,2021-10-30,0.0,Missed
364,22,2021-11-29,66.14,On-time
365,22,2021-12-29,66.14,On-time
366,22,2022-01-28,66.14,On-time
367,23,2024-01-07,87.42,On-time
368,23,2024-02-06,87.42,Late
369,23,2024-03-07,87.42,On-time
370,23,2024-04-06,87.42,On-time
371,23,2024-05-06,87.42,On-time
372,23,2024-06-05,87.42,On-time
373,23,2024-07-05,87.42,On-time
374,23,2024-08-04,87.42,On-time
375,23,2024-09-03,87.42,On-time
376,23,2024-10-03,0.0,Missed
377,23,2024-11-02,87.42,Late
378,23,2024-12-02,87.42,On-time
379,23,2025-01-01,0.0,Missed
380,23,2025-01-31,87.42,On-time
381,23,2025-03-02,87.42,On-time
382,23,2025-04-01,87.42,On-time
383,23,2025-05-01,87.42,On-time
384,23,2025-05-31,87.42,On-time
385,23,2025-06-30,87.42,On-time
386,24,2023-10-19,0.0,Missed
387,24,2023-11-18,578.06,On-time
388,24,2023-12-18,0.0,Missed
389,24,2024-01-17,578.06,On-time
390,24,2024-02-16,578.06,On-time
391,24,2024-03-17,578.06,On-time
392,24,2024-04-16,578.06,On-time
393,24,2024-05-16,578.06,On-time
394,24,2024-06-15,578.06,On-time
395,24,2024-07-15,578.06,On-time
396,24,2024-08-14,578.06,On-time
397,24,2024-09-13,578.06,On-time
398,24,2024-10-13,578.06,On-time
399,24,2024-11-12,578.06,On-time
400,24,2024-12-12,578.06,On-time
401,24,2025-01-11,578.06,On-time
402,24,2025-02-10,578.06,On-time
403,24,2025-03-12,578.06,Late
404,24,2025-04-11,578.06,On-time
405,24,2025-05-11,578.06,On-time
406,24,2025-06-10,578.06,Late
407,24,2025-07-10,578.06,On-time
408,24,2025-08-09,578.06,On-time
409,24,2025-09-08,578.06,On-time
410,24,2025-10-08,578.06,Late
411,24,2025-11-07,578.06,On-time
412,24,2025-12-07,578.06,On-time
413,24,2026-01-06,578.06,On-time
414,24,2026-02-05,578.06,On-time
415,25,2019-04-12,527.54,On-time
416,25,2019-05-12,527.54,On-time
417,25,2019-06-11,527.54,On-time
418,25,2019-07-11,527.54,On-time
419,25,2019-08-10,527.54,On-time
420,25,2019-09-09,527.54,On-time
421,25,2019-10-09,527.54,On-time
422,25,2019-11-08,527.54,Late
423,26,2022-08-10,1190.81,Late
424,26,2022-09-09,1190.81,Late
425,26,2022-10-09,1190.81,On-time
426,26,2022-11-08,0.0,Missed
427,26,2022-12-08,1190.81,On-time
428,26,2023-01-07,1190.81,Late
429,26,2023-02-06,0.0,Missed
430,26,2023-03-08,1190.81,On-time
431,26,2023-04-07,1190.81,On-time
432,26,2023-05-07,1190.81,On-time
433,26,2023-06-06,1190.81,On-time
434,26,2023-07-06,1190.81,On-time
435,26,2023-08-05,1190.81,On-time
436,26,2023-09-04,0.0,Missed
437,26,2023-10-04,1190.81,On-time
438,26,2023-11-03,1190.81,On-time
439,27,2023-09-15,943.19,Late
440,27,2023-10-15,943.19,On-time
441,27,2023-11-14,943.19,On-time
442,27,2023-12-14,943.19,Late
443,27,2024-01-13,943.19,On-time
444,27,2024-02-12,943.19,On-time
445,27,2024-03-13,943.19,On-time
446,27,2024-04-12,943.19,On-time
447,27,2024-05-12,943.19,On-time
448,28,2019-12-26,3809.67,On-time
449,28,2020-01-25,3809.67,On-time
450,28,2020-02-24,3809.67,On-time
451,28,2020-03-25,3809.67,Late
452,28,2020-04-24,3809.67,On-time
453,28,2020-05-24,3809.67,On-time
454,28,2020-06-23,3809.67,On-time
455,28,2020-07-23,3809.67,On-time
456,28,2020-08-22,3809.67,Late
457,28,2020-09-21,3809.67,Late
458,28,2020-10-21,3809.67,On-time
459,29,2021-12-02,233.48,On-time
460,29,2022-01-01,233.48,On-time
461,29,2022-01-31,233.48,On-time
462,29,2022-03-02,0.0,Missed
463,29,2022-04-01,233.48,On-time
464,29,2022-05-01,233.48,On-time
465,29,2022-05-31,233.48,On-time
466,29,2022-06-30,233.48,On-time
467,29,2022-07-30,233.48,Late
468,29,2022-08-29,233.48,On-time
469,29,2022-09-28,233.48,On-time
470,29,2022-10-28,233.48,On-time
471,29,2022-11-27,233.48,On-time
472,29,2022-12-27,233.48,On-time
473,29,2023-01-26,233.48,Late
474,29,2023-02-25,233.48,Late
475,29,2023-03-27,233.48,Late
476,29,2023-04-26,233.48,On-time
477,29,2023-05-26,233.48,Late
478,29,2023-06-25,233.48,On-time
479,29,2023-07-25,233.48,On-time
480,30,2023-08-28,474.85,On-time
481,30,2023-09-27,474.85,On-time
482,30,2023-10-27,474.85,On-time
483,30,2023-11-26,474.85,On-time
484,30,2023-12-26,474.85,On-time
485,30,2024-01-25,474.85,On-time
486,30,2024-02-24,474.85,On-time
487,30,2024-03-25,474.85,On-time
488,30,2024-04-24,474.85,On-time
489,30,2024-05-24,474.85,On-time
490,30,2024-06-23,474.85,Late
491,31,2019-04-02,64.42,On-time
492,31,2019-05-02,64.42,On-time
493,31,2019-06-01,64.42,On-time
494,31,2019-07-01,64.42,On-time
495,31,2019-07-31,64.42,On-time
496,31,2019-08-30,0.0,Missed
497,31,2019-09-29,64.42,On-time
498,31,2019-10-29,64.42,On-time
499,31,2019-11-28,64.42,On-time
500,31,2019-12-28,64.42,Late
501,31,2020-01-27,64.42,On-time
502,31,2020-02-26,64.42,Late
503,31,2020-03-27,64.42,Late
504,31,2020-04-26,64.42,On-time
505,31,2020-05-26,64.42,On-time
506,31,2020-06-25,64.42,On-time
507,31,2020-07-25,64.42,On-time
508,31,2020-08-24,64.42,On-time
509,31,2020-09-23,64.42,On-time
510,31,2020-10-23,0.0,Missed
511,31,2020-11-22,0.0,Missed
512,31,2020-12-22,64.42,Late
513,31,2021-01-21,64.42,On-time
514,31,2021-02-20,64.42,On-time
515,32,2022-07-26,487.0,On-time
516,32,2022-08-25,0.0,Missed
517,32,2022-09-24,487.0,On-time
518,32,2022-10-24,0.0,Missed
519,32,2022-11-23,487.0,On-time
520,32,2022-12-23,487.0,On-time
521,32,2023-01-22,487.0,On-time
522,32,2023-02-21,487.0,On-time
523,33,2020-07-26,406.54,On-time
524,33,2020-08-25,406.54,On-time
525,33,2020-09-24,406.54,On-time
526,33,2020-10-24,406.54,On-time
527,33,2020-11-23,406.54,On-time
528,33,2020-12-23,406.54,On-time
529,33,2021-01-22,406.54,On-time
530,33,2021-02-21,0.0,Missed
531,33,2021-03-23,406.54,On-time
532,33,2021-04-22,0.0,Missed
533,33,2021-05-22,406.54,On-time
534,33,2021-06-21,0.0,Missed
535,33,2021-07-21,406.54,On-time
536,33,2021-08-20,406.54,On-time
537,33,2021-09-19,406.54,On-time
538,33,2021-10-19,406.54,On-time
539,33,2021-11-18,406.54,On-time
540,33,2021-12-18,406.54,On-time
541,33,2022-01-17,406.54,On-time
542,33,2022-02-16,406.54,On-time
543,33,2022-03-18,406.54,On-time
544,33,2022-04-17,406.54,Late
545,33,2022-05-17,406.54,On-time
546,33,2022-06-16,406.54,On-time
547,33,2022-07-16,406.54,On-time
548,33,2022-08-15,406.54,Late
549,33,2022-09-14,406.54,On-time
550,33,2022-10-14,406.54,On-time
551,33,2022-11-13,0.0,Missed
552,34,2023-09-14,650.17,On-time
553,34,2023-10-14,650.17,On-time
554,34,2023-11-13,650.17,On-time
555,34,2023-12-13,0.0,Missed
556,34,2024-01-12,650.17,On-time
557,34,2024-02-11,650.17,Late
558,34,2024-03-12,650.17,On-time
559,34,2024-04-11,650.17,On-time
560,34,2024-05-11,650.17,On-time
561,34,2024-06-10,650.17,On-time
562,34,2024-07-10,650.17,Late
563,34,2024-08-09,650.17,Late
564,34,2024-09-08,650.17,Late
565,34,2024-10-08,650.17,On-time
566,34,2024-11-07,650.17,On-time
567,34,2024-12-07,650.17,On-time
568,34,2025-01-06,650.17,On-time
569,35,2023-12-08,159.15,On-time
570,35,2024-01-07,159.15,On-time
571,35,2024-02-06,159.15,On-time
572,35,2024-03-07,159.15,On-time
573,35,2024-04-06,159.15,On-time
574,35,2024-05-06,159.15,On-time
575,35,2024-06-05,0.0,Missed
576,35,2024-07-05,159.15,On-time
577,35,2024-08-04,159.15,On-time
578,35,2024-09-03,159.15,On-time
579,35,2024-10-03,159.15,On-time
580,35,2024-11-02,159.15,On-time
581,35,2024-12-02,159.15,On-time
582,35,2025-01-01,159.15,On-time
583,35,2025-01-31,159.15,On-time
584,35,2025-03-02,159.15,On-time
585,35,2025-04-01,159.15,On-time
586,35,2025-05-01,159.15,On-time
587,35,2025-05-31,0.0,Missed
588,35,2025-06-30,159.15,On-time
589,36,2023-10-20,479.81,On-time
590,36,2023-11-19,479.81,On-time
591,36,2023-12-19,479.81,On-time
592,36,2024-01-18,479.81,On-time
593,36,2024-02-17,479.81,On-time
594,36,2024-03-18,479.81,On-time
595,36,2024-04-17,479.81,On-time
596,36,2024-05-17,479.81,On-time
597,36,2024-06-16,479.81,Late
598,36,2024-07-16,479.81,On-time
599,36,2024-08-15,479.81,On-time
600,36,2024-09-14,479.81,On-time
601,36,2024-10-14,479.81,On-time
602,36,2024-11-13,479.81,Late
603,36,2024-12-13,479.81,On-time
604,36,2025-01-12,479.81,On-time
605,36,2025-02-11,479.81,On-time
606,36,2025-03-13,479.81,On-time
607,36,2025-04-12,479.81,On-time
608,37,2021-06-14,171.81,On-time
609,37,2021-07-14,171.81,On-time
610,37,2021-08-13,171.81,On-time
611,37,2021-09-12,171.81,On-time
612,37,2021-10-12,171.81,On-time
613,37,2021-11-11,171.81,Late
614,37,2021-12-11,171.81,On-time
615,37,2022-01-10,171.81,On-time
616,37,2022-02-09,171.81,On-time
617,37,2022-03-11,171.81,On-time
618,37,2022-04-10,171.81,On-time
619,37,2022-05-10,171.81,On-time
620,37,2022-06-09,171.81,On-time
621,37,2022-07-09,171.81,On-time
622,37,2022-08-08,171.81,On-time
623,37,2022-09-07,171.81,On-time
624,37,2022-10-07,171.81,On-time
625,37,2022-11-06,171.81,On-time
626,37,2022-12-06,171.81,On-time
627,37,2023-01-05,171.81,On-time
628,37,2023-02-04,171.81,On-time
629,37,2023-03-06,171.81,On-time
630,37,2023-04-05,171.81,On-time
631,37,2023-05-05,171.81,On-time
632,37,2023-06-04,171.81,On-time
633,38,2023-05-23,1355.92,On-time
634,38,2023-06-22,1355.92,On-time
635,38,2023-07-22,1355.92,Late
636,38,2023-08-21,1355.92,On-time
637,38,2023-09-20,1355.92,On-time
638,38,2023-10-20,1355.92,On-time
639,38,2023-11-19,1355.92,On-time
640,38,2023-12-19,1355.92,On-time
641,38,2024-01-18,1355.92,On-time
642,38,2024-02-17,1355.92,On-time
643,38,2024-03-18,1355.92,On-time
644,38,2024-04-17,1355.92,On-time
645,38,2024-05-17,1355.92,On-time
646,38,2024-06-16,1355.92,On-time
647,38,2024-07-16,1355.92,On-time
648,38,2024-08-15,1355.92,On-time
649,38,2024-09-14,1355.92,On-time
650,38,2024-10-14,1355.92,On-time
651,38,2024-11-13,1355.92,On-time
652,38,2024-12-13,1355.92,On-time
653,38,2025-01-12,1355.92,Late
654,38,2025-02-11,1355.92,On-time
655,38,2025-03-13,1355.92,On-time
656,38,2025-04-12,1355.92,On-time
657,38,2025-05-12,1355.92,Late
658,38,2025-06-11,0.0,Missed
659,38,2025-07-11,1355.92,On-time
660,39,2023-04-21,188.22,On-time
661,39,2023-05-21,188.22,On-time
662,39,2023-06-20,188.22,On-time
663,39,2023-07-20,188.22,Late
664,39,2023-08-19,188.22,Late
665,39,2023-09-18,188.22,Late
666,39,2023-10-18,188.22,On-time
667,40,2020-09-04,373.58,On-time
668,40,2020-10-04,373.58,On-time
669,40,2020-11-03,373.58,Late
670,40,2020-12-03,373.58,On-time
671,40,2021-01-02,373.58,On-time
672,40,2021-02-01,373.58,Late
673,40,2021-03-03,373.58,On-time
674,40,2021-04-02,373.58,On-time
675,40,2021-05-02,373.58,On-time
676,40,2021-06-01,373.58,Late
677,40,2021-07-01,373.58,On-time
678,40,2021-07-31,373.58,On-time
679,40,2021-08-30,373.58,On-time
680,40,2021-09-29,373.58,On-time
681,40,2021-10-29,373.58,On-time
682,40,2021-11-28,373.58,On-time
683,40,2021-12-28,373.58,On-time
684,41,2023-03-23,1054.04,On-time
685,41,2023-04-22,1054.04,Late
686,41,2023-05-22,1054.04,On-time
687,41,2023-06-21,1054.04,On-time
688,41,2023-07-21,1054.04,On-time
689,41,2023-08-20,1054.04,Late
690,41,2023-09-19,1054.04,On-time
691,41,2023-10-19,1054.04,On-time
692,41,2023-11-18,1054.04,On-time
693,41,2023-12-18,1054.04,On-time
694,41,2024-01-17,1054.04,On-time
695,41,2024-02-16,0.0,Missed
696,41,2024-03-17,1054.04,On-time
697,41,2024-04-16,1054.04,On-time
698,41,2024-05-16,1054.04,On-time
699,41,2024-06-15,1054.04,On-time
700,41,2024-07-15,1054.04,On-time
701,41,2024-08-14,1054.04,On-time
702,41,2024-09-13,1054.04,On-time
703,41,2024-10-13,1054.04,On-time
704,41,2024-11-12,1054.04,On-time
705,41,2024-12-12,1054.04,On-time
706,41,2025-01-11,1054.04,On-time
707,41,2025-02-10,1054.04,Late
708,41,2025-03-12,1054.04,Late
709,41,2025-04-11,1054.04,Late
710,41,2025-05-11,1054.04,Late
711,42,2019-04-08,1732.96,Late
712,42,2019-05-08,1732.96,Late
713,42,2019-06-07,1732.96,On-time
714,42,2019-07-07,0.0,Missed
715,42,2019-08-06,1732.96,On-time
716,42,2019-09-05,1732.96,On-time
717,42,2019-10-05,1732.96,On-time
718,42,2019-11-04,1732.96,On-time
719,42,2019-12-04,1732.96,On-time
720,42,2020-01-03,1732.96,On-time
721,42,2020-02-02,1732.96,On-time
722,42,2020-03-03,1732.96,Late
723,42,2020-04-02,1732.96,Late
724,42,2020-05-02,1732.96,On-time
725,42,2020-06-01,1732.96,Late
726,42,2020-07-01,1732.96,Late
727,43,2022-01-23,278.62,On-time
728,43,2022-02-22,278.62,Late
729,43,2022-03-24,278.62,On-time
730,43,2022-04-23,278.62,Late
731,43,2022-05-23,278.62,On-time
732,43,2022-06-22,278.62,On-time
